"","Feature","Gain","Cover","Frequence"
"1","saldo_var30",0.334232097808833,0.218390473845165,0.0586218717860816
"2","var38",0.146291784174066,0.149461232023722,0.152211175865615
"3","saldo_medio_var5_hace3",0.0633808128696718,0.107510301429735,0.0713061364415495
"4","ID",0.0520393627308089,0.026842108798449,0.11107302022626
"5","saldo_medio_var5_hace2",0.046146531530956,0.0368812315948028,0.0644497771683236
"6","saldo_medio_var5_ult3",0.0339783101015421,0.0288236920221901,0.0493657867672266
"7","imp_op_var41_efect_ult3",0.0271737988457835,0.0427335065046971,0.0315392526568392
"8","saldo_medio_var5_ult1",0.026943118400602,0.0181391208266897,0.0411381556393555
"9","saldo_var5",0.0253501603724491,0.0163915718973652,0.0414809736030168
"10","saldo_var37",0.0252444444929314,0.0368459970776314,0.0407953376756942
"11","imp_op_var41_efect_ult1",0.0243109850088388,0.0635886181639764,0.030167980802194
"12","imp_op_var41_ult1",0.0190006157632256,0.0126810085706854,0.0287967089475489
"13","saldo_var8",0.0174890871554373,0.0482828108187123,0.0195406239286939
"14","imp_trans_var37_ult1",0.0159070969610656,0.00734058908634001,0.0318820706205005
"15","imp_op_var39_comer_ult1",0.0157046108954077,0.00316320828661448,0.0250257113472746
"16","imp_var43_emit_ult1",0.0156317912249596,0.0246801009351984,0.0263969832019198
"17","imp_op_var39_comer_ult3",0.0147396956037754,0.00967171738161437,0.0263969832019198
"18","imp_ent_var16_ult1",0.0137388591729589,0.034410976566093,0.0260541652382585
"19","imp_op_var39_ult1",0.0104693412494872,0.0149083422987244,0.0119986287281454
"20","imp_op_var41_comer_ult3",0.0097948121576073,0.00851844029357193,0.0119986287281454
"21","saldo_medio_var8_ult1",0.00840964168197103,0.0147329021680493,0.0130270826191292
"22","imp_op_var41_comer_ult1",0.00625388921805342,0.00251497205610027,0.0106273568735002
"23","saldo_var42",0.00592194507819152,0.00191250339931548,0.00651354130956462
"24","saldo_var26",0.00462247650244595,0.00286382056339662,0.00925608501885499
"25","saldo_medio_var8_ult3",0.00455989403434737,0.00151158962070049,0.00411381556393555
"26","saldo_medio_var8_hace2",0.00441795723571035,0.0126055843117205,0.0085704490915324
"27","saldo_medio_var8_hace3",0.00400873319326083,0.00923509441568426,0.00719917723688721
"28","saldo_var25",0.00339653824361888,0.006544808124199,0.00617072334590333
"29","saldo_var1",0.0032559016625187,0.000189474125910044,0.00171408981830648
"30","imp_op_var39_efect_ult1",0.00288691866644494,0.000258722967240866,0.00239972574562907
"31","imp_op_var39_efect_ult3",0.00223163060011571,0.00176244244126882,0.00205690778196778
"32","saldo_medio_var12_hace2",0.00172870662846446,0.00513882001510178,0.00308536167295166
"33","imp_op_var40_ult1",0.0013016056367244,0.00364918905205994,0.00308536167295166
"34","imp_sal_var16_ult1",0.00117478490879409,0.00400573389005818,0.00239972574562907
"35","imp_op_var40_efect_ult1",0.00115905053611109,0.000565179469001455,0.00137127185464518
"36","saldo_medio_var13_corto_hace2",0.00108870653660282,0.000389059008109327,0.00514226945491944
"37","imp_op_var40_efect_ult3",0.000949976340632652,0.000827031759313049,0.00205690778196778
"38","saldo_medio_var12_ult1",0.000926473021083614,0.00232324567569653,0.00102845389098389
"39","imp_aport_var13_hace3",0.000830610168732968,0.000506369049922776,0.000685635927322592
"40","saldo_medio_var12_hace3",0.000600466394223166,0.000147547472283877,0.00171408981830648
"41","saldo_var13_corto",0.000496480491644504,0.000236004395348523,0.00137127185464518
"42","saldo_var14",0.000473353705680794,0.00329534857784324,0.000685635927322592
"43","imp_var7_recib_ult1",0.00037551680982152,0.0144453357909831,0.00171408981830648
"44","saldo_medio_var12_ult3",0.00031452799070615,0.000694110474115829,0.00102845389098389
"45","saldo_medio_var13_corto_ult3",0.000289736588003396,3.65306613717426e-05,0.00102845389098389
"46","saldo_var24",0.000278166637551874,2.18580813750477e-05,0.000685635927322592
"47","saldo_var12",0.000255942943859226,0.000207989631937716,0.000342817963661296
"48","saldo_var31",0.000127252908080659,0.000108806418497515,0.000342817963661296
"49","saldo_var13",9.57991161968792e-05,4.87796141707269e-06,0.000342817963661296
